Follow;Seguire
Teleport to <col=ff8040>Guardians of the Rift</col>;Teletrasportati ai <col=ff8040>Guardiani della Fenditura</col>
Join <col=ff8040>Guardians of the Rift</col> channel;Unisciti al canale <col=ff8040>Guardiani della Frattura</col>
Ghostly Grasp;Presa spettrale
Equipar;Equipar
Combine;Combina
Remover-10;Dispositivo di rimozione-10
Remover-X;Dispositivo di rimozione-X
Remover tudo;Tutto di rimozione
Remover-5;Dispositivo di rimozione-5
View <col=ff9040>Farming</col> guide;Visualizza la guida <col=ff9040>Agricoltura</col>
Teleport to <col=ff8040>Tithe Farm</col>;Teletrasportati alla <col=ff8040>Fattoria Tithe</col>
Join <col=ff8040>Tithe Farm</col> channel;Unisciti al canale <col=ff8040>Tithe Farm</col>
Change icon (corp);Cambia icona (azienda)
Withdraw-12000000;Prelievo-12000000
Withdraw-1116;Ritiro-1116
Deposit-1116;Deposito-1116
Change icon (melee);Cambia icona (mischia)
Release all placeholders (18);Rilascia tutti i segnaposto (18)
Change icon (ranger);Cambia icona (ranger)
Change icon (mage);Cambia icona (immagine)
Comprar tudo;Compra tutto
Compre-X;Compre-X
Poções;Poções
Deposit-400;Deposito-400
Withdraw-400;Ritiro-400
Vault;Volta
Deposit-2000000;Deposito-2000000
Withdraw-2000000;Ritiro-2000000
Select <col=ff891f>Grid master tabard (g);Seleziona <col=ff891f>Tabarda principale della griglia (g)
Select <col=ff891f>Swords and emblem (b);Seleziona <col=ff891f>Spade ed stemmi (b)
Select <col=ff891f>Grid master tabard (b);Seleziona <col=ff891f>Tabarda principale della griglia (b)
Buy: 2 x Cheese;Acquista: 2 formaggi
Buy: 1 x Bronze bar;Acquista: 1 barra di bronzo
Buy: 2 x Teleport to house;Acquista: 2 x Teletrasporto a casa
Buy: 2 x Falador teleport;Acquista: 2 teletrasporto Falador
Withdraw-90;Ritiro-90
Deposit-90;Deposito-90
Buy: 30 x Bones;Acquista: 30 ossa
Sell: 180 x Arrow shaft;Vendita: 180 x asta di freccia
He/him;Lui/lui
Comprar;Comprar
Charter-to Musa Point;Charter-a Musa Point
Buy: 6 x Chocolate cake;Acquista: 6 x Torta al cioccolato
Leave <col=ff8040>Shades of Mort'ton</col> channel;Lascia il canale <col=ff8040>Shades of Mort'ton</col>
Add ignore GRANDPAROWEN;Aggiungi ignora NONNO
Add friend vapkez;Aggiungi amico vapkez
Add friend GRANDPAROWEN;Aggiungi amico NONNO
Add friend Marko Slice;Aggiungi l'amico Marko Slice
Add ignore Meowser121;Aggiungi ignora Meowser121
Add ignore Zobozo1;Aggiungi ignora Zobozo1
Add friend Soliidary;Aggiungi amico Solidarietà
Add ignore KONQUERX;Aggiungi ignora KONQUERX
Add ignore Marko Slice;Aggiungi ignora Marko Slice
Add ignore Sloppy McNut;Aggiungi ignora Sloppy McNut
Add friend Omegasquadga;Aggiungi amico Omegasquadga
Add friend Sloppy McNut;Aggiungi un amico Sloppy McNut
Add friend Zobozo1;Aggiungi amico Zobozo1
Add friend Meowser121;Aggiungi amico Meowser121
Add ignore Omegasquadga;Aggiungi ignora Omegasquadga
Add ignore vapkez;Aggiungi ignora vapkez
Add ignore Soliidary;Aggiungi ignora Solididary
Add friend KONQUERX;Aggiungi amico KONQUERX
Buy: 1 x Black 2h sword;Acquista: 1 x Spada nera 2h
Buy: 2,100 x Chaos rune;Acquista: 2.100 rune del caos
Pick-spine;Pick-dorso
Jump-Across;Salto attraverso
Quick-board;Tavola veloce
Withdraw-1100;Ritiro-1100
Deposit-1100;Deposito-1100
Default quantity: 1,100;Quantità predefinita: 1.100
Withdraw-11000;Prelievo-11000
Deposit-11000;Deposito-11000
Challenge-mode;Modalità sfida
Default quantity: 6;Quantità predefinita: 6
Add ignore xBroellers;Aggiungi ignora xBroellers
Add ignore VenturedOut;Aggiungi ignora VenturedOut
Add ignore POX IV;Aggiungi ignora POX IV
Add ignore RN Kiwi;Aggiungi ignora RN Kiwi
Add friend S a b a10;Aggiungi amico S a b a10
Add ignore LostTooMany;Aggiungi ignora LostTooMany
Add ignore Thermidex;Aggiungi ignora Thermidex
Add friend ZellaDey;Aggiungi amico ZellaDey
Add friend Owlbeaker;Aggiungi amico Gufobeaker
Add friend TheCount423;Aggiungi amico TheCount423
Add friend Tuwah as;Aggiungi l'amico Tuwah as
Add friend xbongesx;Aggiungi amico xbongesx
Add friend Tm1453;Aggiungi amico Tm1453
Add ignore S a b a10;Aggiungi ignora S a b a10
Add ignore TheCount423;Aggiungi ignora TheCount423
Add ignore Pro Flex;Aggiungi ignora Pro Flex
Add ignore slayinfaerie;Aggiungi ignora slayinfaerie
Add friend RN Kiwi;Aggiungi l'amico RN Kiwi
Add friend Vedranimall;Aggiungi amico Vedranimall
Add friend Urukhairintj;Aggiungi amico Urukhairintj
Add friend qazedc10;Aggiungi amico qazedc10
Add friend vt_8o8;Aggiungi amico vt_8o8
Add friend Monstyyy;Aggiungi amico Monstyyy
Add ignore ZellaDey;Aggiungi ignora ZellaDey
Add ignore Yrrabo;Aggiungi ignora Yrrabo
Add friend LostTooMany;Aggiungi amico LostTooMany
Add ignore Ued Ghost;Aggiungi ignora Ued Ghost
Add friend Stokesberger;Aggiungi amico Stokesberger
Add ignore Owlbeaker;Aggiungi ignora Owlbeaker
Add friend valerielilw;Aggiungi amico valerielilw
Add ignore qazedc10;Aggiungi ignora qazedc10
Add ignore Prolly so;Aggiungi ignora Prolly così
Add ignore Magolllon;Aggiungi ignora Magollon
Add ignore Monstyyy;Aggiungi ignora Monstyyy
Add friend POX IV;Aggiungi amico POX IV
Add friend Slangbellan;Aggiungi amico Slangbellan
Add ignore xbongesx;Aggiungi ignora xbongesx
Add ignore Vedranimall;Aggiungi ignora Vedranimall
Add friend TheoChapman;Aggiungi amico TheoChapman
Add ignore valerielilw;Aggiungi ignora valerielilw
Add friend xBroellers;Aggiungi amico xBroellers
Add ignore Stokesberger;Aggiungi ignora Stokesberger
Add ignore vt_8o8;Aggiungi ignora vt_8o8
Add friend Yrrabo;Aggiungi amico Yrrabo
Add friend Ued Ghost;Aggiungi l'amico Ued Ghost
Add friend Thermidex;Aggiungi amico Thermidex
Add friend Pikig;Aggiungi amico Pikig
Add ignore Tuwah as;Aggiungi ignora Tuwah as
Add friend slayinfaerie;Aggiungi amico slayinfaerie
Add friend Prolly so;Aggiungi l'amico Prolly così
Add friend Magolllon;Aggiungi amico Magollón
Add ignore TheoChapman;Aggiungi ignora TheoChapman
Add ignore Urukhairintj;Aggiungi ignora Urukhairintj
Add friend Pro Flex;Aggiungi un amico Pro Flex
Add ignore Pikig;Aggiungi ignora Pikig
Add ignore Slangbellan;Aggiungi ignora Slangbellan
Add friend VenturedOut;Aggiungi amico VenturedOut
Add ignore Tm1453;Aggiungi ignora Tm1453
Change icon (mission's);Cambia icona (missione)
Add ignore pharmon;Aggiungi ignora pharmon
Add friend pharmon;Aggiungi amico pharmon
Add ignore Sup3rluminal;Aggiungi ignora Sup3rluminal
Add ignore MercyGate;Aggiungi ignora MercyGate
Add friend Sup3rluminal;Aggiungi amico Sup3rluminal
Add friend MercyGate;Aggiungi amico MercyGate
Make <col=ff9040>Ruby bracelet</col>;Realizza <col=ff9040>braccialetto con rubini</col>
Deposit-7000;Deposito-7000
Withdraw-60000;Prelievo-60000
Withdraw-7000;Prelievo-7000
Withdraw-12000;Prelievo-12000
Deposit-12000;Deposito-12000
More Info;Ulteriori informazioni
Look-up;Cercare
Buy: 1 x Pot;Acquista: 1 vaso
Load last duel's settings;Carica le impostazioni dell'ultimo duello
Load preset settings;Carica le impostazioni preimpostate
Save settings;Salva impostazioni
"Whip" settings;Impostazioni "Frusta".
"Boxing" settings;Impostazioni "Boxe".
CKS;CKS
AJP;AJP
DKP;DKP
Select <col=ff9040>Wizard blizzard;Seleziona <col=ff9040>Bufera di neve guidata
Deposit-12000000;Deposito-12000000
Default quantity: 7,000;Quantità predefinita: 7.000
Pay (east);Paga (est)
Pay (west);Paga (ovest)
Remove-Bone;Rimuovere l'osso
Remove-Pot;Rimuovi pentola
Group name;Nome del gruppo
Create Group;Crea gruppo
Buy: 9 x Bucket;Acquista: 9 secchi
Withdraw-1200;Ritiro-1200
Deposit-1200;Deposito-1200
Teleport to <col=ff8040>Fishing Trawler</col>;Teletrasportati sul <col=ff8040>Peschereccio</col>
Join <col=ff8040>Fishing Trawler</col> channel;Unisciti al canale <col=ff8040>Fishing Trawler</col>
Buy: 4 x Red dye;Acquista: 4 x colorante rosso
Screenshot;Schermata
Buy: 100 x Logs;Acquista: 100 tronchi
+15%;+15%
Buy: 5,000 x Pure essence;Acquista: 5.000 x Essenza pura
Attempt Translation;Tentativo di traduzione
+40%;+40%
-40%;-40%
Buy: 1 x Secateurs;Acquista: 1 cesoia
Withdraw-14000000;Ritiro-14000000
Deposit-14000000;Deposito-14000000
Abort;Interrompere
Steer left;Sterzare a sinistra
Steer right;Sterza a destra
Increase throttle;Aumenta l'acceleratore
Decrease throttle;Diminuire l'acceleratore
-15%;-15%
Default quantity: 1,000,000;Quantità predefinita: 1.000.000
Default quantity: 12,000,000;Quantità predefinita: 12.000.000
Buy: 20 x Ranarr potion (unf);Acquista: 20 x pozioni Ranarr (unf)
Sell: 1 x Uncut jade;Vendo: 1 x giada non tagliata
DIR;DIR
BLP;BLP
Travel to<col=ff9040> Wilderness Pond;Raggiungi <col=ff9040> ​​Wilderness Pond
Restore;Ripristinare
Swap-options;Opzioni di scambio
Set Hotkey (Q);Imposta tasto di scelta rapida (Q)
Set Hotkey (P);Imposta tasto di scelta rapida (P)
Buy: 1 x Strength potion(4);Acquista: 1 pozione di forza(4)
Cyrisus;Ciriso
Captain Ginea;Capitano Ginnea
Krystilia;Kristilia
Steve;Steve
Konar;Konar
Kuradal;Kuradal
Barbarian Guard;Guardia Barbarica
Lanthus;Lanto
Buy: 700 x Chocolate dust;Acquista: 700 x Polvere di cioccolato
Buy: 600 x Ranarr potion (unf);Acquista: 600 x Pozione Ranarr (unf)
Sell: 600 x Prayer potion(3);Vendi: 600 x Pozione di preghiera(3)
Buy: 1 x Limpwurt root;Acquista: 1 x radice di limpwurt
Sell: 1 x Super strength(3);Vendi: 1 x Super forza(3)
Buy: 600 x Limpwurt root;Acquista: 600 x Radice di limpwurt
Sell: 600 x Super strength(3);Vendi: 600 x Super forza(3)
Buy: 1 x Bandos rune armour set (lg);Acquista: 1 set di armature runiche Bandos (lg)
Buy: 200 x Kwuarm potion (unf);Acquista: 200 x Pozione Kwuarm (unf)
Buy: 200 x Limpwurt root;Acquista: 200 x Radice di Limpwurt
Add to;aggiungere a
Buy: 1 x Unfired bowl;Acquista: 1 x ciotola non cotta
Default quantity: 800;Quantità predefinita: 800
Sell: 1 x Ensouled troll head;Vendi: 1 x Testa di troll con anima
Remover espaços reservados;Rimuovere gli spazi riservati
Contagem de cheques;Contagio degli assegni
Escolha;Escolha
Elenco;Elenco
Caminhe aqui;Caminhe qui
Alternar aviso;Avviso alternativo
Descer;Discesore
Teletransporte do Mosteiro;Teletrasporto del Mosteiro
Mercado Geral;Mercato Geral
Ativar;Ativar
Ver todos os itens;Vedi tutti gli oggetti
Procurar;Procurare
Viagem rápida;Viaggio rapido
Retirar-5;Ritirarsi-5
Viagem;Viagem
Retirar-X;Ritirarsi-X
Depósito-10;Deposito-10
Guia Exibir;Guia Exibir
Fale com;Fale com
Retirar-10;Ritirare-10
Depósito-1;Deposito-1
Retirar tudo menos 1;Ritirare tutto meno 1
Fora;Foro
Configurar;Configura
Inspecionar;Ispezionabile
Troca;Troca
Retirar tudo;Ritirati tutto
Escalar;Scala
Retirar-1;Ritirarsi-1
Depósito-5;Deposito-5
Ancinho;Ancinho
Embarcar;Imbarcarsi
Soltar;Soltare
Cozinhar;Cozinhar
Esfregar;Esfregar
Acariciar;Acaricar
Guia;Guia
Comuna;Comuna
Visualizar;Visualizza
Sementes;Sementi
Reiniciar;Reiniziare
Vazio;Vazio
Meu;Meu
Verificar;Verificatore
Tendência;Tendenza
Descansar;Descansar
Crânio;Cranio
Cruzar;Cruzar
Nova guia;Nova guia
Guilda de Pesca;Guilda de Pesca
Rede pequena;Rede pequena
Alternar avisos;Avvisi alternativi
Isca;Isca
Bebida;Bebida
Reivindique troféus;Reivindique troféus
Ler;Ler
Quadro;Quadro
Roubar;Roubar
Balsa;Balsa
Cheirava;Cheirava
Agarrar;Agarrar
Tocar;Tocar
Unid;Unificato
Change filter;Cambia filtro
Membro inscrito;Membro iscritto
List your clan;Elenca il tuo clan
Entrar como convidado;Entra come condannato
Invite applications;Invita candidature
Guest minimum QP;QP minimo ospite
Guest Iron status;Stato del ferro ospite
Icons;Icone
Kick from chat;Calcio dalla chat
Guests may listen in chat;Gli ospiti possono ascoltare in chat
Cofre;Cofre
Decantar;Decantare
Guest minimum skill total;Totale competenze minime dell'ospite
Alternar;Alternare
Piso superior;Piano superiore
Verifique as cobranças;Verifique as cobranças
Teleporte;Teletrasporto
Verificação de integridade;Verifica dell'integrità
Piso inferior;Piano inferiore
Luz;Luce
Doca;Doc
Pegue ferramentas;Pegue ferramentas
Pegue-rede;Pegue-rede
Líquido;Liquido
Adicionar;Aggiungi
Deposit All;Deposita tutto
Estudar;Estudar
Assassino;Assassino
Desativar;Desivavar
Rodar;Rodar
Afaste-se;Afaste-se
Atrair;Atrair
Batida;Batida
Claro;Claro
Barra;Barra
Remover um;Dispositivo di rimozione ehm
Itens de coleção;Oggetti da collezione
Preencher;Preencher
Pautas de reivindicação;Pautas de reivindicação
Armadura;Armadura
Escavação;Scavação
Pagar;Pag
Olhe para dentro;Olhe para dentro
Suba;Suba
Machado de loja;Machado de loja
Desmontar;Demontar
Alegar;Alega
Venda 5<col=ff9040>;Vedi 5<col=ff9040>
Idade;Idade
Venda 10<col=ff9040>;Vedi 10<col=ff9040>
Venda 50<col=ff9040>;Vedi 50<col=ff9040>
Reparar;Riparazione
Chupar;Chupar
Glider-to Lemanto Andra;Aliante-per Lemanto Andra
Buy: 1 x Uncut diamond;Acquista: 1 diamante non tagliato
Rastreamento;Rastreamento
Características;Caratteristiche
Miscelânea;Miscellanea
Enclave Ferox;Enclave Ferox
Tome-5;Tomo-5
Encher balde;Encher Balde
Pegue-X;Pegue-X
Subida rápida;Subida rápida
Início individual;Inizio individuale
Verifique munição;Verificare la munizione
Amarração;Amarração
Arpão;Arpao
Desafio;Desafio
Perder;Perder
Juntar;Juntar
Apagar;Apagar
Sort-salvamento;Sorta-salvamento
Corte;Corte
Leve qualquer carga;Leve qualunque carico
Levar carga;Levar carico
Leve a última carga;Leve a última carga
Show key;Mostra chiave
Instruções;Istruzioni
Cooked or raw fish?;Pesce cotto o crudo?
Check-Approval;Verifica-Approvazione
Passe de compra;Passaggio di compravendita
Passagem;Passaggio
Olhe para;Olhe para
Revigorar;Rinvigorire
Registro;Registro
Enterrar;Entra
Parceiro;Parceiro
Limpar;Limpare
Desmantelar;Smontare
Contagem de Mortes;Contagem de Mortes
Contagem do Canyon (leste);Contagem do Canyon (Est)
Contagem do Canyon (oeste);Contagem do Canyon (ovest)
Ore;Minerale
Converter;Convertitore
Quebrar;Quebrar
Informações;Informazioni
Desbloquear;Sbloccare
Atribuição;Attribuzione
Espremer;Espremer
Saltar para cima;Saltar para cima
Pular sobre;Pular sobrio
Escolher;Escolher
Dispersão;Dispersione
Mergulho;Mergulho
Mudar;Mudar
Gráfico;Grafico
Roubar de;Roubar de
Porto Piscarilius;Porto Piscarilio
Fazer;Fazer
Buy: 2 x Xerician fabric;Acquista: 2 tessuti xericiani
Release all placeholders (39);Rilascia tutti i segnaposto (39)
Investigar;Investigare
Planador;Planador
Junte-se às Guerras do Castelo;Junte-se às Guerras do Castelo
Withdraw-875;Ritiro-875
Estatísticas;Statistiche
Remexer;Remexer
Deposit-875;Deposito-875
Release all placeholders (30);Rilascia tutti i segnaposto (30)
Loja;Loja
Operar;Operaio
Redecorar;Ridecorare
Realocar;Realocar
Lutar em particular;Lutar in particolare
Invocar;Invocar
Divino;Divino
Não;No
Compra-1;Compra-1
Compra-5;Compra-5
Jarro de enchimento;Jarro de enchimento
Vidência;Vidência
Fuga rápida;Fuga rapida
Leite;Leite
Descarregar;Scaricare
Machado;Machado
Roubar sino;Roubar sino
Deposit-5555;Deposito-5555
Withdraw-5555;Ritiro-5555
Guia Exibir ;Guia Exibir
Taxa de cheque;Tassa di controllo
Fogo;Fogo
Carregar X;Carregar X
Espiar;Espiar
Agitação;Agitazione
Haste de uso;Rapidità d'uso
Nadar;Nadar
Nade para;Nade para
Bater;Battere
Mergulhe;Mergulhe
Entrem;Entrem
Gazua;Gazua
Remover carvão;Remover carvão
Change icon (coletas);Cambia icona (coletas)
Buy: 150 x Mithril arrowtips;Acquista: 150 punte di freccia in mithril
Ressaca;Ressaca
Passar;Passar
Pular;Polare
Buy: 1 x Gold bar;Acquista: 1 lingotto d'oro
Localizar;Localizzare
Verifique as etapas;Verifica come etapas
Sentir;Sentir
Descida;Descida
Reforma;Riforma
Cliente em potencial;Cliente potenziale
Pule para;Pule para
Cisalhamento;Cisalhamento
Watchtower;Torre di guardia
Withdraw-855000;Prelievo-855000
Laço;Laço
Esmagar;Esmagar
Deposit-855000;Deposito-855000
Buy: 70 x Dragon longsword;Acquista: 70 x Spada lunga del drago
Default quantity: 855,000;Quantità predefinita: 855.000
Reivindicações de registro de recompensas;Reivindicações de registro de recompensas
Obter registro;Ottenere la registrazione
Retirada;Retirata
Quadro Rápido;Quadro Rapido
Pule Através;Pule Através
Plantar;Plantare
Pegue o tesouro;Pegue o tesouro
Atravessar;Atravessar
Default quantity: 80,000;Quantità predefinita: 80.000
Withdraw-80000;Prelievo-80000
Deposit-80000;Deposito-80000
Iban Blast;Iban Blast
Escavar;Escavar
Corte de cabelo;Corte de cabelo
Depilar;Depilare
Portagem(2-Ecto);Portagem(2-Ecto)
Pagar (noroeste);Pagar (noroeste)
Pagar (sudeste);Pagar (sudeste)
Ir para;Ir para
Mover;Motore
Comprar comida;Comprare cibo
Comprar itens;Acquista oggetti
Retirar-10000;Ritirare-10000
Tokens de reivindicação;Tokens de reivindicação
Animar;Animare
Alternar-ressurgimento;Alternar-ressurrgimento
Empurrar;Impegnarsi
Adicionar descobertas;Ulteriori informazioni scoperte
Rachadura;Rachadura
Coletar dados;Dati Coletar
Kick user;Caccia l'utente
Chip;Chip
Marca;Marca
Trancar;Trancar
Peças de casco artesanal;Pezzi di casco artigianale
Comprar barco;Acquistare barco
Barco personalizado;Barca personalizzata
Barco de recuperação;Barca di recupero
Arte;Arte
Kits de reparo de artesanato;Kit di riparazione artigianale
Porto Sarim;Porto Sarim
Carta;Carta
Verifique as pontuações;Verificare le punte
Livro de feitiços;Livro de feitiços
Venerar;Venerabile
Cancelar tarefa;Cancellare la tariffa
Reivindicar recompensas;Reivindicar recompensas
Relembrar;Ricordare
Pegue a faca;Pegue a faca
Caixa de pólvora;Caixa de polvere
Observar;Osservatore
Lutar;Lutar
Comprar amuleto;Comprare amuleto
Corantes;Corantes
Puxar;Puxar
Prédio sem elevador;Predio senza ascensore
Compre tudo;Compre tutto
Conversar;Conversare
Cura;Cura
Ver estatísticas;Vedi statistiche
Amigo do conselho;Amigo do consiglio
Quadro anterior;Quadro anteriore
Grande pesquisa;Grande indagine
Capa de reivindicação;Capa de reivindicação
Dificuldade de conjunto;Dificuldade de conjunto
Privado;Privato
Aberto para tudo;Aperto per tutto
Pagar (canteiro de árvore);Pagar (canteiro de árvore)
Combustível;Combustibile
Picareta;Picareta
Último destino;Ultimo destino
Deposit-255555;Deposito-255555
Withdraw-255555;Ritiro-255555
Fill-in;Compila
Consult;Consultare
Passo a passo;Passo a passo
Saltar;Saltar
Reduzir;Reduzir
Grande rede;Grande rosso
Armadilha;Armadilha
Track-current;Traccia-corrente
Efeitos visuais;Effetti visivi
Coletar de;Coletar de
Fazer um café;Fazer um café
Verifique os totais;Verifica tutto
Jaula;Jaula
Salto;Salto
Equilíbrio;Equilibrio
Obstáculo;Ostacolo
Dig-below;Scava sotto
Alternar K/D;K/D alternato
Descartar;Scartare
Nenhum;Nenhum
Default quantity: 8;Quantità predefinita: 8
Buy: 1 x Nardah teleport;Acquista: 1 teletrasporto Nardah
Buy: 380 x Earth battlestaff;Acquista: 380 Bastoni da battaglia terrestri
Toggle-vials;Fiale a commutazione
Search-for-traps;Cerca-trappole
-20%;-20%
Conjure;Evocare
+20%;+20%
Set as Client;Imposta come cliente
Remove-rat;Rimuovi-ratto
Quick-falcon;Falco veloce
Buy: 4 x Extended stamina potion(4);Acquista: 4 x Pozione di resistenza estesa(4)
Default quantity: 1,522;Quantità predefinita: 1.522
Withdraw-1522;Ritiro-1522
Check/Uncharge;Controlla/Scarica
Set Hotkey (R);Imposta tasto di scelta rapida (R)
Set Hotkey (S);Imposta tasto di scelta rapida (S)
Deposit-300000;Deposito-300000
Withdraw-300000;Preleva-300000
Playback;Riproduzione
Contact;Contatto
Scan;Scansione
Castori;Castori
Prьfen;Prefen
Fдllen;Fällen
Add friend TheHedgeNite;Aggiungi amico TheHedgeNite
Add friend Yukon772;Aggiungi amico Yukon772
Add ignore X Huka;Aggiungi ignora X Huka
Add friend wildturkey63;Aggiungi amico wildturkey63
Add ignore unholysadist;Aggiungi ignora unholysadist
Add friend X Huka;Aggiungi l'amico X Huka
Add ignore Yukon772;Aggiungi ignora Yukon772
Add ignore ZooCluesMan;Aggiungi ignora ZooCluesMan
Add ignore whimsywhale;Aggiungi ignora capriccioso
Add friend Temptationss;Aggiungi amico Tentazioni
Add friend thinHairyIM;Aggiungi amico thinHairyIM
Add ignore wildturkey63;Aggiungi ignora wildturkey63
Add friend ZooCluesMan;Aggiungi amico ZooCluesMan
Add ignore thinHairyIM;Aggiungi ignora thinHairyIM
Add ignore Tomppazz93;Aggiungi ignora Tomppazz93
Add friend whimsywhale;Aggiungi l'amico capriccioso
Add ignore ValentHobby;Aggiungi ignora ValentHobby
Add ignore TheHedgeNite;Aggiungi ignora TheHedgeNite
Add friend ValentHobby;Aggiungi amico ValentHobby
